state,crop,avg_yield_kg_ha
Telangana,Other Kharif Pulses,440.28
Telangana,Other Oilseeds,13893.16
Telangana,Other Rabi Pulses,945.85
Telangana,Potato,12410.36
Telangana,Ragi,1292.94
Telangana,Rapeseed &Mustard,1048.88
Telangana,Rice,3275.07
Telangana,Safflower,807.53
Telangana,Sesamum,465.76
Telangana,Small Millets,1421.75
Telangana,Soyabean,1446.86
Telangana,Sugarcane,77789.02
Telangana,Sunflower,1684.27
Telangana,Sweet Potato,10419.64
Telangana,Tobacco,3498.36
Telangana,Turmeric,5880.97
Telangana,Urad,971.32
Telangana,Wheat,1538.71
Tripura,Arhar/Tur,730.37
Tripura,Cowpea(Lobia),735.42
Tripura,Gram,744.69
Tripura,Groundnut,1188.2
Tripura,Jowar,806.78
Tripura,Khesari,670.84
Tripura,Linseed,696.83
Tripura,Maize,1351.42
Tripura,Masoor,684.17
Tripura,Moong(Green Gram),566.55
Tripura,Oilseeds Total,696.51
Tripura,Other Kharif Pulses,754.64
Tripura,Other Oilseeds,729.02
Tripura,Other Rabi Pulses,825.4
Tripura,Peas & Beans (Pulses),799.02
Tripura,Potato,17733.84
Tripura,Rapeseed &Mustard,797.88
Tripura,Rice,2503.26
Tripura,Sesamum,571.75
Tripura,Small Millets,809.9
Tripura,Soyabean,782.62
Tripura,Sugarcane,51614.87
Tripura,Urad,627.31
Tripura,Wheat,2074.16
Uttar Pradesh,Arhar/Tur,930.85
Uttar Pradesh,Bajra,1417.78
Uttar Pradesh,Banana,44012.35
Uttar Pradesh,Barley,2305.16
Uttar Pradesh,Castor Seed,768.88
Uttar Pradesh,Coriander,570.32
Uttar Pradesh,Dry Chillies,893.34
Uttar Pradesh,Garlic,5484.35
Uttar Pradesh,Ginger,3437.6
Uttar Pradesh,Gram,985.9
Uttar Pradesh,Groundnut,882.83
Uttar Pradesh,Guar Seed,803.98
Uttar Pradesh,Jowar,1006.81
Uttar Pradesh,Linseed,462.49
Uttar Pradesh,Maize,1775.39
Uttar Pradesh,Masoor,837.79
Uttar Pradesh,Moong(Green Gram),515.5
Uttar Pradesh,Moth,470.57
Uttar Pradesh,Oilseeds Total,627.34
Uttar Pradesh,Onion,14218.43
Uttar Pradesh,Other Kharif Pulses,543.09
Uttar Pradesh,Other Rabi Pulses,1039.88
Uttar Pradesh,Peas & Beans (Pulses),1259.68
Uttar Pradesh,Potato,21732.43
Uttar Pradesh,Ragi,1448.79
Uttar Pradesh,Rapeseed &Mustard,952.77
Uttar Pradesh,Rice,2176.28
Uttar Pradesh,Sannhamp,309.26
Uttar Pradesh,Sesamum,195.04
Uttar Pradesh,Small Millets,752.9
Uttar Pradesh,Soyabean,759.59
Uttar Pradesh,Sugarcane,55635.47
Uttar Pradesh,Sunflower,1541.75
Uttar Pradesh,Sweet Potato,12428.54
Uttar Pradesh,Tobacco,4730.94
Uttar Pradesh,Turmeric,2284.88
Uttar Pradesh,Urad,563.95
Uttar Pradesh,Wheat,2903.75
Uttarakhand,Arhar/Tur,717.31
Uttarakhand,Bajra,1087.79
Uttarakhand,Barley,1264.82
Uttarakhand,Dry Chillies,303.06
Uttarakhand,Garlic,1914.49
Uttarakhand,Ginger,9658.5
Uttarakhand,Gram,683.33
Uttarakhand,Groundnut,1085.8
Uttarakhand,Horse-Gram,766.86
Uttarakhand,Jowar,733.33
Uttarakhand,Linseed,410.97
Uttarakhand,Maize,1505.86
Uttarakhand,Masoor,647.45
Uttarakhand,Moong(Green Gram),593.95
Uttarakhand,Moth,470.17
Uttarakhand,Oilseeds Total,720.7
Uttarakhand,Onion,8669.76
Uttarakhand,Other Cereals,847.08
Uttarakhand,Other Kharif Pulses,857.93
Uttarakhand,Other Oilseeds,630.47
Uttarakhand,Other Rabi Pulses,640.76
Uttarakhand,Other Summer Pulses,625.0
Uttarakhand,Peas & Beans (Pulses),685.69
Uttarakhand,Potato,12199.55
Uttarakhand,Ragi,1432.46
Uttarakhand,Rapeseed &Mustard,637.3
Uttarakhand,Rice,1973.69
Uttarakhand,Sannhamp,314.95
Uttarakhand,Sesamum,231.56
Uttarakhand,Small Millets,1216.51
Uttarakhand,Soyabean,1015.27
Uttarakhand,Sugarcane,63123.14
Uttarakhand,Sunflower,911.04
Uttarakhand,Tobacco,4166.33
Uttarakhand,Turmeric,2986.15
Uttarakhand,Urad,694.43
Uttarakhand,Wheat,1808.09
West Bengal,Arecanut,2013.95
West Bengal,Arhar/Tur,1082.53
West Bengal,Bajra,567.63
West Bengal,Barley,1327.59
West Bengal,Cardamom,535.9
West Bengal,Castor Seed,753.94
West Bengal,Dry Chillies,1030.35
West Bengal,Garlic,10537.88
West Bengal,Ginger,1666.71
West Bengal,Gram,981.73
West Bengal,Groundnut,1575.36
West Bengal,Horse-Gram,534.49
West Bengal,Jowar,629.69
West Bengal,Khesari,957.32
West Bengal,Linseed,342.66
West Bengal,Maize,3016.15
West Bengal,Masoor,717.95
West Bengal,Moong(Green Gram),675.76
West Bengal,Moth,888.54
West Bengal,Niger Seed,510.6
West Bengal,Oilseeds Total,699.03
West Bengal,Other Kharif Pulses,561.24
West Bengal,Other Rabi Pulses,541.55
West Bengal,Peas & Beans (Pulses),948.08
West Bengal,Potato,23351.19
West Bengal,Ragi,800.08
West Bengal,Rapeseed &Mustard,841.57
West Bengal,Rice,2532.4
West Bengal,Safflower,782.55
West Bengal,Sannhamp,4819.77
West Bengal,Sesamum,736.91
West Bengal,Small Millets,794.74
West Bengal,Soyabean,672.65
West Bengal,Sugarcane,83072.74
West Bengal,Sunflower,1171.56
West Bengal,Tobacco,917.76
West Bengal,Turmeric,1784.82
West Bengal,Urad,660.93
West Bengal,Wheat,2303.35
